family_id,unit_type,caregiver_alias,context_notes,support_network,environmental_factors,global_history,created_at,updated_at
6757a44b-9b38-49ba-9f05-27fb844cb020,family,Abuela Mariana,cuidador principal con poca red de apoyo,sin apoyo claro,ruido frecuente en casa,sin un patrón completamente claro,2025-12-24T13:38:00,2025-12-24T13:38:00
225df57f-e239-43f3-84cc-3016892bf288,family,Cuidador Sofía,dudas sobre diagnóstico y manejo cotidiano,red de apoyo limitada,traslados largos,historial con episodios de desregulación variable,2025-12-04T18:53:00,2025-12-04T18:53:00
7f6996a9-6603-4b7b-a83c-eae1577f949e,individual,Mamá Daniela,cuidador principal con poca red de apoyo,apoyo moderado,ruido frecuente en casa,mejor respuesta cuando hay menos presión,2025-12-28T13:54:00,2025-12-28T13:54:00
ab0729fe-94f5-4521-9e46-9be7470e922c,family,Tutor Paula,cuidador principal con poca red de apoyo,poco apoyo,poca red de apoyo,sin un patrón completamente claro,2025-12-01T18:25:00,2025-12-01T18:25:00
851191ee-c54a-4898-bc9f-c92f0ac52466,family,Cuidador Leonardo,sueño irregular y estrés escolar,poco apoyo,ruido frecuente en casa,sin un patrón completamente claro,2025-12-21T15:58:00,2025-12-21T15:58:00
177c312d-c315-4023-8a3b-d95a7eade0a9,family,Tía Andrea,sueño irregular y estrés escolar,red de apoyo limitada,ruido frecuente en casa,dificultades más visibles en periodos de cansancio,2025-12-05T08:22:00,2025-12-05T08:22:00
88d2e80a-d86a-4aa7-b6ca-de6ff0699e4a,family,Mamá Isabela,cuidador principal con poca red de apoyo,red de apoyo limitada,espacios reducidos,mejor respuesta cuando hay menos presión,2025-12-03T09:53:00,2025-12-03T09:53:00
a1db19fe-057a-492f-967e-a3937d1427b1,family,Papá Rafael,dudas sobre diagnóstico y manejo cotidiano,apoyo moderado,traslados largos,sin un patrón completamente claro,2025-12-22T09:17:00,2025-12-22T09:17:00
d1f2586a-8e48-43ef-8c0f-1566ae132398,family,Abuela Regina,familia con alta demanda emocional,sin apoyo claro,horarios variables,mejor respuesta cuando hay menos presión,2025-12-13T12:47:00,2025-12-13T12:47:00
9b01614e-f942-4167-bce5-8b9c91939bdf,individual,Cuidador Natalia,varios cambios recientes,red de apoyo limitada,presión escolar,historial con episodios de desregulación variable,2025-12-08T15:28:00,2025-12-08T15:28:00
96aad2d3-ec6e-4499-863f-c27120c99c37,family,Tutor Gael,sueño irregular y estrés escolar,sin apoyo claro,cambios constantes de rutina,sin un patrón completamente claro,2025-12-22T11:28:00,2025-12-22T11:28:00
19f4dc6f-ef37-4eeb-974c-07d766eac932,individual,Papá Victoria,sueño irregular y estrés escolar,red de apoyo limitada,horarios variables,"mejoría parcial con estructura, pero no sostenida",2025-12-27T10:35:00,2025-12-27T10:35:00
f748a894-cb8a-4198-a284-a93352f93142,family,Tutor Emilia,cuidador principal con poca red de apoyo,red de apoyo limitada,presión escolar,"mejoría parcial con estructura, pero no sostenida",2025-12-09T08:48:00,2025-12-09T08:48:00
afeaa5c9-9c0c-416a-ad45-eb8cc2ff8fba,family,Mamá Carolina,carga funcional alta y poco descanso,sin apoyo claro,traslados largos,mejor respuesta cuando hay menos presión,2025-12-21T12:15:00,2025-12-21T12:15:00
4ec26eed-77bf-443e-a7c0-e4566b30ccab,individual,Tía Fernanda,varios cambios recientes,apoyo variable,presión escolar,dificultades más visibles en periodos de cansancio,2025-12-23T11:22:00,2025-12-23T11:22:00
ef9df874-57d0-4295-828d-edfc008a109c,family,Abuela Jimena,varios cambios recientes,apoyo variable,espacios reducidos,historial con episodios de desregulación variable,2025-12-08T10:52:00,2025-12-08T10:52:00
3176bbc2-bdc8-42ad-ae99-a779fab93272,family,Cuidadora Aitana,sueño irregular y estrés escolar,apoyo moderado,presión escolar,mejor respuesta cuando hay menos presión,2025-12-20T16:08:00,2025-12-20T16:08:00
715d0761-a622-4544-854f-d6bb0ae9b91f,individual,Cuidadora Alexa,varios cambios recientes,apoyo variable,presión escolar,"mejoría parcial con estructura, pero no sostenida",2025-12-10T09:36:00,2025-12-10T09:36:00
88dbb747-a962-4724-8da7-c6df3bc28fd4,family,Tía Montserrat,varios cambios recientes,apoyo variable,poca red de apoyo,sin un patrón completamente claro,2025-12-05T16:29:00,2025-12-05T16:29:00
ac39e2ba-d617-423d-8147-4792cae97e35,family,Cuidadora Abril,dudas sobre diagnóstico y manejo cotidiano,sin apoyo claro,espacios reducidos,dificultades más visibles en periodos de cansancio,2025-12-03T17:07:00,2025-12-03T17:07:00
8a6ff92b-054a-4b3f-b57e-aced6d14bffb,family,Papá Clara,familia con alta demanda emocional,apoyo moderado,ruido frecuente en casa,dificultades más visibles en periodos de cansancio,2025-12-15T13:09:00,2025-12-15T13:09:00
9a156313-2f5f-46d4-9d59-8bc9537ede49,family,Cuidador Sebastián,dudas sobre diagnóstico y manejo cotidiano,apoyo variable,ruido frecuente en casa,sin un patrón completamente claro,2025-12-21T09:59:00,2025-12-21T09:59:00
acd7d45c-b0dd-44b1-9cd1-40d889a44d36,family,Mamá Luna,carga funcional alta y poco descanso,apoyo variable,ruido frecuente en casa,mejor respuesta cuando hay menos presión,2025-12-15T10:46:00,2025-12-15T10:46:00
eee7a107-ffb7-47dd-997b-79749e3550e7,family,Papá Bruno,dudas sobre diagnóstico y manejo cotidiano,poco apoyo,ruido frecuente en casa,dificultades más visibles en periodos de cansancio,2025-12-03T15:54:00,2025-12-03T15:54:00
a23b37d2-f123-4412-afe5-2dcd60000021,family,Abuela Maya,sueño irregular y estrés escolar,apoyo moderado,poca red de apoyo,mejor respuesta cuando hay menos presión,2025-12-10T15:23:00,2025-12-10T15:23:00
28926661-61b3-4991-bdf2-ce2340e77935,family,Mamá Diana,sueño irregular y estrés escolar,sin apoyo claro,espacios reducidos,mejor respuesta cuando hay menos presión,2025-12-13T12:52:00,2025-12-13T12:52:00
db667ea9-a359-4945-8245-1db2d5ff8c68,family,Cuidador Laura,carga funcional alta y poco descanso,apoyo variable,poca red de apoyo,sin un patrón completamente claro,2025-12-03T09:53:00,2025-12-03T09:53:00
acfef06c-8e37-47df-9806-5e52aee67e68,family,Cuidador Nicolás,carga funcional alta y poco descanso,sin apoyo claro,espacios reducidos,mejor respuesta cuando hay menos presión,2025-12-10T09:11:00,2025-12-10T09:11:00
2165daf4-d683-4f3d-9290-8694bff46165,family,Papá Sara,cuidador principal con poca red de apoyo,apoyo moderado,espacios reducidos,mejor respuesta cuando hay menos presión,2025-12-25T11:13:00,2025-12-25T11:13:00
e3fbcca2-2475-4ec6-99d7-2d68bca129cd,family,Tutor Julia,familia con alta demanda emocional,poco apoyo,pantallas por la noche,"mejoría parcial con estructura, pero no sostenida",2025-12-03T10:37:00,2025-12-03T10:37:00
fdb2bfde-c518-4399-b28d-17afecfc120d,family,Abuela Ivanna,sueño irregular y estrés escolar,apoyo moderado,horarios variables,"mejoría parcial con estructura, pero no sostenida",2025-12-05T14:55:00,2025-12-05T14:55:00
2b7fc46c-c93b-4fc1-83d0-bd8821b279fd,family,Cuidador Samuel,carga funcional alta y poco descanso,apoyo moderado,pantallas por la noche,"mejoría parcial con estructura, pero no sostenida",2025-12-09T16:04:00,2025-12-09T16:04:00
45ba3015-110c-405a-bcdc-6c6ead1c16d9,family,Abuela Romina,cuidador principal con poca red de apoyo,red de apoyo limitada,horarios variables,dificultades más visibles en periodos de cansancio,2025-12-21T08:21:00,2025-12-21T08:21:00
b8874cf5-f685-4622-9bf5-801106feb44f,family,Tutor Damián,dudas sobre diagnóstico y manejo cotidiano,poco apoyo,presión escolar,sin un patrón completamente claro,2025-12-05T09:45:00,2025-12-05T09:45:00
742340e8-14b4-4dbe-ab50-50293dc7a133,family,Abuela Alma,sueño irregular y estrés escolar,apoyo variable,pantallas por la noche,sin un patrón completamente claro,2025-12-25T11:36:00,2025-12-25T11:36:00
6f1d3747-ebd7-42a6-b206-15a99c39f01c,family,Cuidadora Adriana,sueño irregular y estrés escolar,apoyo moderado,horarios variables,"mejoría parcial con estructura, pero no sostenida",2025-12-12T16:24:00,2025-12-12T16:24:00
89311746-9149-4040-a2d5-5b1e88984159,family,Cuidadora Bianca,familia con alta demanda emocional,red de apoyo limitada,poca red de apoyo,historial con episodios de desregulación variable,2025-12-06T13:56:00,2025-12-06T13:56:00
ca3d10e6-0d79-4151-9e3e-59d55f8d5ff4,family,Tía Celia,varios cambios recientes,red de apoyo limitada,traslados largos,mejor respuesta cuando hay menos presión,2025-12-28T11:08:00,2025-12-28T11:08:00
93e29f41-9564-4114-a4e7-c7f4d566ab42,family,Cuidadora Dafne,sueño irregular y estrés escolar,sin apoyo claro,ruido frecuente en casa,dificultades más visibles en periodos de cansancio,2025-12-28T18:00:00,2025-12-28T18:00:00
9941a961-1597-4482-85ac-c7f16b94abe7,family,Mamá Estela,varios cambios recientes,apoyo variable,pantallas por la noche,"mejoría parcial con estructura, pero no sostenida",2025-12-05T13:55:00,2025-12-05T13:55:00
6516c9f5-9d32-43ef-8fcf-3ce0fffa3472,family,Cuidador Emilio,familia con alta demanda emocional,poco apoyo,traslados largos,historial con episodios de desregulación variable,2025-12-20T08:42:00,2025-12-20T08:42:00
a663973a-16d3-49e1-9336-7118691390ac,family,Cuidador Fátima,cuidador principal con poca red de apoyo,apoyo variable,pantallas por la noche,sin un patrón completamente claro,2025-12-14T09:06:00,2025-12-14T09:06:00
d9ca2074-6665-4fbe-8c3e-b9567736137d,family,Mamá Greta,cuidador principal con poca red de apoyo,apoyo moderado,traslados largos,dificultades más visibles en periodos de cansancio,2025-12-08T13:17:00,2025-12-08T13:17:00
603a10ed-54b9-45db-9f4b-de880057ff79,family,Papá Helena,dudas sobre diagnóstico y manejo cotidiano,apoyo moderado,espacios reducidos,mejor respuesta cuando hay menos presión,2025-12-16T08:33:00,2025-12-16T08:33:00
02f07d98-0ba4-421d-b620-37c37723e9e5,family,Abuela Iris,familia con alta demanda emocional,red de apoyo limitada,poca red de apoyo,"mejoría parcial con estructura, pero no sostenida",2025-12-27T08:44:00,2025-12-27T08:44:00
06854ca0-83c9-4eee-adc6-b1a6c9fd8ed2,family,Papá Adrián,cuidador principal con poca red de apoyo,apoyo variable,traslados largos,"mejoría parcial con estructura, pero no sostenida",2025-12-25T16:34:00,2025-12-25T16:34:00
137d433e-099c-4818-9542-fb1c62135220,family,Cuidador Julieta,varios cambios recientes,apoyo variable,pantallas por la noche,dificultades más visibles en periodos de cansancio,2025-12-02T08:36:00,2025-12-02T08:36:00
eeb1155e-5408-4539-a2a1-e5bef6859bee,family,Abuela Karen,carga funcional alta y poco descanso,apoyo variable,espacios reducidos,mejor respuesta cuando hay menos presión,2025-12-28T17:43:00,2025-12-28T17:43:00
3fdbb0fc-3d53-47ec-8f28-446fd6cd2d0e,family,Cuidador Lía,varios cambios recientes,apoyo moderado,horarios variables,dificultades más visibles en periodos de cansancio,2025-12-20T18:32:00,2025-12-20T18:32:00
f53a6c72-72a1-4e13-a11a-481eac48b348,family,Cuidadora Mónica,sueño irregular y estrés escolar,apoyo moderado,poca red de apoyo,dificultades más visibles en periodos de cansancio,2025-12-19T13:39:00,2025-12-19T13:39:00
e0dedb37-352a-4bd8-a2c3-19047ab4d2ea,family,Papá Nora,dudas sobre diagnóstico y manejo cotidiano,red de apoyo limitada,pantallas por la noche,sin un patrón completamente claro,2025-12-24T09:58:00,2025-12-24T09:58:00
78e2e23c-235a-4286-a712-59a54a77d42f,family,Mamá Olivia,cuidador principal con poca red de apoyo,apoyo variable,traslados largos,mejor respuesta cuando hay menos presión,2025-12-04T16:29:00,2025-12-04T16:29:00
fd5d7249-e2ab-4544-9865-b7c311367196,family,Cuidadora Patricia,cuidador principal con poca red de apoyo,sin apoyo claro,espacios reducidos,sin un patrón completamente claro,2025-12-12T18:38:00,2025-12-12T18:38:00
390e94d0-786f-432a-8e38-da4fb07644c0,family,Tutor Rebeca,familia con alta demanda emocional,poco apoyo,pantallas por la noche,sin un patrón completamente claro,2025-12-15T18:08:00,2025-12-15T18:08:00
15085b3d-a0b8-4ed7-bcbf-7f546373ca07,individual,Cuidadora Silvana,sueño irregular y estrés escolar,poco apoyo,espacios reducidos,dificultades más visibles en periodos de cansancio,2025-12-10T18:47:00,2025-12-10T18:47:00
9dfa0590-8f77-4595-a67a-efaa62a82698,family,Cuidadora Teresa,varios cambios recientes,apoyo moderado,presión escolar,dificultades más visibles en periodos de cansancio,2025-12-11T10:40:00,2025-12-11T10:40:00
d2bcd533-edea-4306-ba3d-6cf5835a4f7e,family,Tía Úrsula,sueño irregular y estrés escolar,poco apoyo,ruido frecuente en casa,mejor respuesta cuando hay menos presión,2025-12-02T10:11:00,2025-12-02T10:11:00
efbc102c-0f2d-49c3-ae6b-69ce4444c30f,family,Tutor Ángel,carga funcional alta y poco descanso,apoyo variable,poca red de apoyo,mejor respuesta cuando hay menos presión,2025-12-19T14:36:00,2025-12-19T14:36:00
c9fee3cc-8300-42b3-84ff-eb4a37cc7ce5,family,Papá Violeta,varios cambios recientes,red de apoyo limitada,ruido frecuente en casa,sin un patrón completamente claro,2025-12-04T18:26:00,2025-12-04T18:26:00
f97643f4-3a3f-4774-87ea-28014bda78e9,individual,Papá Ximena,dudas sobre diagnóstico y manejo cotidiano,apoyo moderado,ruido frecuente en casa,"mejoría parcial con estructura, pero no sostenida",2025-12-11T15:55:00,2025-12-11T15:55:00
b19bd1c5-5cff-4d50-9357-6e6c46d2b366,family,Tutor Yara,familia con alta demanda emocional,apoyo variable,espacios reducidos,"mejoría parcial con estructura, pero no sostenida",2025-12-15T18:59:00,2025-12-15T18:59:00
462fdfa5-0fca-405a-b531-f3218704b4b2,family,Abuela Zoe,carga funcional alta y poco descanso,apoyo variable,traslados largos,sin un patrón completamente claro,2025-12-07T12:28:00,2025-12-07T12:28:00
244cf02a-6a9f-4e51-8fd0-39996e6c74aa,family,Abuela Ana Azul,dudas sobre diagnóstico y manejo cotidiano,apoyo moderado,cambios constantes de rutina,dificultades más visibles en periodos de cansancio,2025-12-01T15:31:00,2025-12-01T15:31:00
d6a9a228-4332-4e6b-94f9-7ac3b478f992,family,Papá Ana Lorenzo,varios cambios recientes,apoyo moderado,ruido frecuente en casa,dificultades más visibles en periodos de cansancio,2025-12-17T16:20:00,2025-12-17T16:20:00
8b6bb981-4061-4c42-a459-18ac98fd8daa,family,Abuela Ana Renée,varios cambios recientes,poco apoyo,ruido frecuente en casa,mejor respuesta cuando hay menos presión,2025-12-25T15:42:00,2025-12-25T15:42:00
ac8136db-8080-4ad0-9778-dd42c8928287,family,Mamá Ana Emmanuel,varios cambios recientes,red de apoyo limitada,espacios reducidos,mejor respuesta cuando hay menos presión,2025-12-03T15:07:00,2025-12-03T15:07:00
d237e2ed-efc4-46b6-9b11-086add8aead9,family,Abuela Ana Ariel,varios cambios recientes,apoyo moderado,pantallas por la noche,"mejoría parcial con estructura, pero no sostenida",2025-12-07T18:56:00,2025-12-07T18:56:00
37194d96-5178-465a-a5a5-e41a8510add7,family,Cuidador Ana Gael,varios cambios recientes,poco apoyo,ruido frecuente en casa,mejor respuesta cuando hay menos presión,2025-12-23T16:17:00,2025-12-23T16:17:00
4aea8578-f11f-4cda-befa-c49409b9e347,family,Mamá Ana Elías,carga funcional alta y poco descanso,apoyo variable,ruido frecuente en casa,sin un patrón completamente claro,2025-12-22T15:23:00,2025-12-22T15:23:00
3717bc84-1ee6-4e63-97b9-0f0a22be0a3a,family,Tía Ana Noel,cuidador principal con poca red de apoyo,apoyo moderado,pantallas por la noche,dificultades más visibles en periodos de cansancio,2025-12-27T09:00:00,2025-12-27T09:00:00
56a85926-0924-4de8-bef0-c8dba9162ff5,family,Mamá Ana Jade,varios cambios recientes,apoyo variable,espacios reducidos,mejor respuesta cuando hay menos presión,2025-12-12T16:54:00,2025-12-12T16:54:00
ea771dc0-dcea-48b5-8294-70c7b7a0393d,family,Cuidador Ana Aurora,dudas sobre diagnóstico y manejo cotidiano,apoyo variable,horarios variables,dificultades más visibles en periodos de cansancio,2025-12-27T17:04:00,2025-12-27T17:04:00
b197a060-ad07-4f9b-a70d-d822f75ac25c,family,Papá Ana Sol,familia con alta demanda emocional,apoyo variable,poca red de apoyo,historial con episodios de desregulación variable,2025-12-15T18:42:00,2025-12-15T18:42:00
af7388af-cf32-46d5-9074-f11c578b2dd3,family,Papá Ana Mar,carga funcional alta y poco descanso,apoyo moderado,espacios reducidos,sin un patrón completamente claro,2025-12-23T17:03:00,2025-12-23T17:03:00
640a32a0-9ec2-4649-aefc-30e6b627bd41,individual,Cuidadora Ana Pilar,cuidador principal con poca red de apoyo,sin apoyo claro,cambios constantes de rutina,dificultades más visibles en periodos de cansancio,2025-12-05T13:15:00,2025-12-05T13:15:00
af1839cd-c731-46fe-ab8e-37f48fca6fcf,family,Mamá Ana Inés,sueño irregular y estrés escolar,sin apoyo claro,presión escolar,"mejoría parcial con estructura, pero no sostenida",2025-12-22T13:22:00,2025-12-22T13:22:00
67824c90-7666-4827-ae22-08871117756b,family,Papá Daniel,sueño irregular y estrés escolar,sin apoyo claro,horarios variables,dificultades más visibles en periodos de cansancio,2025-12-10T10:51:00,2025-12-10T10:51:00
ec43e719-9d34-490b-a2e0-c9d09ac4f6d1,family,Abuela Ana Cruz,varios cambios recientes,poco apoyo,presión escolar,sin un patrón completamente claro,2025-12-12T10:03:00,2025-12-12T10:03:00
118e117b-54ea-4d19-879b-1254fafb11aa,family,Mamá Ana Said,familia con alta demanda emocional,sin apoyo claro,ruido frecuente en casa,historial con episodios de desregulación variable,2025-12-01T15:48:00,2025-12-01T15:48:00
4fb78ecd-3f6c-487d-8b97-186ffb11122a,family,Abuela Ana Alonso,dudas sobre diagnóstico y manejo cotidiano,red de apoyo limitada,poca red de apoyo,dificultades más visibles en periodos de cansancio,2025-12-03T13:31:00,2025-12-03T13:31:00
f65216e5-a793-4049-ac78-132bf1c66aa9,family,Tutor Ana Belén,dudas sobre diagnóstico y manejo cotidiano,poco apoyo,horarios variables,mejor respuesta cuando hay menos presión,2025-12-13T17:43:00,2025-12-13T17:43:00
6de7afcf-3f18-4f11-94d1-55afc0aeefba,family,Cuidador Ana Flor,varios cambios recientes,apoyo variable,presión escolar,sin un patrón completamente claro,2025-12-23T18:13:00,2025-12-23T18:13:00
9ed61181-3d24-491e-8138-116b695b34ba,family,Papá Ana Rocío,sueño irregular y estrés escolar,apoyo moderado,cambios constantes de rutina,"mejoría parcial con estructura, pero no sostenida",2025-12-09T12:41:00,2025-12-09T12:41:00
233606d0-5b54-4710-a599-50e8f6190bea,family,Cuidadora Ana Milen,carga funcional alta y poco descanso,red de apoyo limitada,traslados largos,"mejoría parcial con estructura, pero no sostenida",2025-12-10T09:59:00,2025-12-10T09:59:00
dbbc5520-d492-49cb-aee2-e33d1f3acd31,family,Mamá Ana Jazmín,familia con alta demanda emocional,red de apoyo limitada,espacios reducidos,mejor respuesta cuando hay menos presión,2025-12-02T14:39:00,2025-12-02T14:39:00
1c1bd122-e450-4702-bd7e-20c8ebc3cb30,family,Mamá Ana Joel,carga funcional alta y poco descanso,red de apoyo limitada,poca red de apoyo,dificultades más visibles en periodos de cansancio,2025-12-05T16:02:00,2025-12-05T16:02:00
b725812f-efaf-4221-a1c9-77b3ae848ba4,family,Abuela Ana Nerea,cuidador principal con poca red de apoyo,poco apoyo,traslados largos,sin un patrón completamente claro,2025-12-22T09:56:00,2025-12-22T09:56:00
ae18da88-c7da-4e72-a331-844ad52c56e0,family,Tía Ana Ambar,sueño irregular y estrés escolar,apoyo variable,poca red de apoyo,mejor respuesta cuando hay menos presión,2025-12-03T08:32:00,2025-12-03T08:32:00
88a41a66-4c0b-498a-aec4-5fe747327b8f,family,Abuela Ana León,carga funcional alta y poco descanso,apoyo moderado,poca red de apoyo,sin un patrón completamente claro,2025-12-01T14:07:00,2025-12-01T14:07:00
bbdc6e82-c96f-4323-84cf-ba5468547c07,family,Tía Ana Elián,carga funcional alta y poco descanso,sin apoyo claro,pantallas por la noche,historial con episodios de desregulación variable,2025-12-18T09:17:00,2025-12-18T09:17:00
e7f7306f-ee7a-475a-98b2-7237d089f915,family,Mamá Ana Celeste,familia con alta demanda emocional,sin apoyo claro,horarios variables,mejor respuesta cuando hay menos presión,2025-12-23T08:59:00,2025-12-23T08:59:00
421c9053-ff4a-48bb-8980-6b97ffc74c1c,family,Abuela Ana Lía,varios cambios recientes,poco apoyo,presión escolar,mejor respuesta cuando hay menos presión,2025-12-14T14:56:00,2025-12-14T14:56:00
174070a1-b993-450c-b8b6-564bd0b8aaa9,family,Cuidador Rodrigo,familia con alta demanda emocional,poco apoyo,traslados largos,dificultades más visibles en periodos de cansancio,2025-12-15T09:09:00,2025-12-15T09:09:00
2472bc7c-4de5-4c93-9881-47f8a8f3a5df,family,Abuela Ana Iñaki,cuidador principal con poca red de apoyo,sin apoyo claro,espacios reducidos,dificultades más visibles en periodos de cansancio,2025-12-19T15:57:00,2025-12-19T15:57:00
9c567733-1364-4260-80d0-cbeb74300353,family,Tía Valeria Azul,familia con alta demanda emocional,apoyo variable,presión escolar,historial con episodios de desregulación variable,2025-12-04T16:10:00,2025-12-04T16:10:00
43aac72d-6f79-4194-9aaa-e577a4d51504,family,Cuidadora Valeria Lorenzo,varios cambios recientes,sin apoyo claro,presión escolar,historial con episodios de desregulación variable,2025-12-21T10:00:00,2025-12-21T10:00:00
28b2e675-056e-4641-905e-ff58e87ae9a7,family,Papá Valeria Renée,varios cambios recientes,apoyo moderado,cambios constantes de rutina,"mejoría parcial con estructura, pero no sostenida",2025-12-26T11:14:00,2025-12-26T11:14:00
8eb78eb1-2c51-42fb-8109-782d19d43d14,family,Tía Valeria Emmanuel,carga funcional alta y poco descanso,sin apoyo claro,horarios variables,sin un patrón completamente claro,2025-12-20T14:14:00,2025-12-20T14:14:00
c25019f3-1716-4483-b2e2-aa2c237ba3c6,family,Tía Valeria Ariel,familia con alta demanda emocional,apoyo moderado,cambios constantes de rutina,"mejoría parcial con estructura, pero no sostenida",2025-12-20T12:26:00,2025-12-20T12:26:00
d90744ce-8978-418d-889d-31e4cdd05fb4,individual,Mamá Valeria Gael,varios cambios recientes,sin apoyo claro,traslados largos,dificultades más visibles en periodos de cansancio,2025-12-26T11:12:00,2025-12-26T11:12:00
7acdf96d-f0d6-47ef-a652-2296f18b05b7,family,Cuidadora Valeria Elías,varios cambios recientes,poco apoyo,pantallas por la noche,"mejoría parcial con estructura, pero no sostenida",2025-12-11T12:24:00,2025-12-11T12:24:00
ecc7fd0f-c099-4120-83f8-b48c4d1e8a4e,family,Tía Valeria Noel,varios cambios recientes,apoyo variable,cambios constantes de rutina,sin un patrón completamente claro,2025-12-01T10:12:00,2025-12-01T10:12:00
14028473-68cf-4e2a-9a07-f0d594a5792b,family,Cuidadora Valeria Jade,sueño irregular y estrés escolar,apoyo variable,presión escolar,mejor respuesta cuando hay menos presión,2025-12-13T18:11:00,2025-12-13T18:11:00
fc1cd7da-cf3e-47fc-8d1e-eff3df3eacce,individual,Abuela Valeria Aurora,carga funcional alta y poco descanso,red de apoyo limitada,poca red de apoyo,"mejoría parcial con estructura, pero no sostenida",2025-12-15T08:53:00,2025-12-15T08:53:00
2b782017-90d8-4c42-9b89-53ecf7c53148,family,Cuidadora Valeria Sol,dudas sobre diagnóstico y manejo cotidiano,red de apoyo limitada,traslados largos,dificultades más visibles en periodos de cansancio,2025-12-23T16:50:00,2025-12-23T16:50:00
9f49af09-ba5f-46d6-8282-3883ebff3f28,family,Abuela Valeria Mar,sueño irregular y estrés escolar,apoyo variable,horarios variables,dificultades más visibles en periodos de cansancio,2025-12-28T15:04:00,2025-12-28T15:04:00
a4fdf2be-40ef-4074-977b-551a82a4099c,family,Cuidador Sofía Cruz Pilar,familia con alta demanda emocional,apoyo moderado,ruido frecuente en casa,"mejoría parcial con estructura, pero no sostenida",2025-12-24T13:24:00,2025-12-24T13:24:00
6fc2a463-0e65-44c9-9355-acb82f03e7f3,family,Tía Valeria Inés,sueño irregular y estrés escolar,apoyo variable,pantallas por la noche,dificultades más visibles en periodos de cansancio,2025-12-25T14:33:00,2025-12-25T14:33:00
e53c06a6-7e9a-47a2-8ec0-f52fb15355c4,family,Cuidador Valeria Cruz,dudas sobre diagnóstico y manejo cotidiano,red de apoyo limitada,cambios constantes de rutina,sin un patrón completamente claro,2025-12-15T14:46:00,2025-12-15T14:46:00
0e5bdd1d-eabe-40e8-aeed-08f55db16a62,family,Mamá Sofía Alonso Said,dudas sobre diagnóstico y manejo cotidiano,apoyo variable,horarios variables,historial con episodios de desregulación variable,2025-12-26T18:59:00,2025-12-26T18:59:00
fbcc318b-408e-4cc2-bc63-6f92202c5966,family,Cuidadora Valeria Alonso,sueño irregular y estrés escolar,apoyo variable,cambios constantes de rutina,"mejoría parcial con estructura, pero no sostenida",2025-12-19T10:28:00,2025-12-19T10:28:00
1ebf5f08-9f01-4a3b-8d4a-f204822391a3,individual,Tía Valeria Belén,dudas sobre diagnóstico y manejo cotidiano,sin apoyo claro,horarios variables,dificultades más visibles en periodos de cansancio,2025-12-18T16:50:00,2025-12-18T16:50:00
5b4e80aa-994f-4fe8-91db-b442768dc08f,family,Tía Valeria Flor,dudas sobre diagnóstico y manejo cotidiano,apoyo variable,horarios variables,sin un patrón completamente claro,2025-12-15T09:16:00,2025-12-15T09:16:00
